SBD,Toan,Ngu van,Ngoai ngu,Ly,Hoa,Sinh,Su,Dia,GDCD
3000001,8.4,7,7.2,8,8.75,4.25, , , 
3000002,7.2,5.25,7.2,5.25,6.5,3.25, , , 
3000003,8.4,7.25,8.4,6.5,8,6.5, , , 
3000004,8.6,5.75,8.4,6,7.5,5.25, , , 
3000005,8.6,6.5,5.2,7.75,8.75,6.25, , , 
3000006,8.6,7,9.4,7.75,3.5,4.5, , , 
3000007,8.4,7.5,9,6,8,5, , , 
3000008,8.4,6.75,6,7.25,7.25,4.75, , , 
3000009,7.8,7.25,3.2,3.25,5.75,6, , , 
3000010,7.8,7.75,9,6,6.75,4.5, , , 
3000011,8.4,8.5, ,5.75,9,8, , , 
3000012,7.8,6.75,4.4,7.25,7.75,3.75, , , 
3000013,8.4,6.5,9.4,9,4.25,5.75, , , 
3000014,8.4,7.5,5.8,7.25,7.75,5.5, , , 
3000015,9.2,7.5,8.8,8.75,9,7.5, , , 
3000016,7,4,8.2,5.5,4.25,5, , , 
3000017,8,5.25,4.2,6.75,8,6, , , 
3000018,8.2,6.5,7.6,7,7.5,5.5, , , 
3000019,7.4,6,8.8,7.25,6.5,6, , , 
3000020,9,8.25,9.2,7.5,9.5,10, , , 
3000021,7.4,6.75,7.8,6.25,3.75,5, , , 
3000022,7.2,7.75,8.6,5.25,5.75,6, , , 
3000023,8.2,6.5,7.2,6,7.5,5.75, , , 
3000024,8,8.5,6.4,7.25,8,5.75, , , 
3000025,6,8,9,7.25,7.5,4.25, , , 
3000026,8.6,6.25,9.2,7.5,7.5,4.75, , , 
3000027,5.8,6,3.8,6,4.25,5, , , 
3000028,8.2,8,9.2,7.75,7.25,6, , , 
3000029,7,7,8.2,4.25,4.75,5, , , 
3000030,7.4,6,3.2,6.5,6,3.75, , , 
3000031,6.6,6.25, ,3,3.25,4, , , 
3000032,8.6,7,7.8,8,7.5,6.25, , , 
3000033,7.8,6.25,5,7.25,6.5,2, , , 
3000034,9,7.25,9.4,8.25,8.25,3.75, , , 
3000035,7.8,5.75,6.4,6.75,7,4.75, , , 
3000036,7.4,3,3.8,7.25,8.75,5, , , 
3000037,7.2,7,3.4,6.75,2.5,4.5, , , 
3000038,7.4,6.25,4.2,3,6.75,8, , , 
3000039,8.4,7.5,5.4,7.25,7.75,6.25, , , 
3000040,9,5.75,5.2,8.5,8,5.75, , , 
3000041,7.2,6.75,4.6,8.25,7,4.25, , , 
3000042,7.8,6.5,5,7,7.75,5, , , 
3000043,7.6,7.5,7,6.75,6.75,3.75, , , 
3000044,7,4.75,6.8,6,2.5,3.25, , , 
3000045,8,3.75,3,7,6.75,4, , , 
3000046,8.2,4.75,9.4,5.75,5.25,4.75, , , 
3000047,8.4,4,5.6,8,8.25,6, , , 
3000048,8.4,4.25,6.6,6,6,3.5, , , 
3000049,6.6,6.5,3.2, , , ,4.75,7,9.5
3000050,6.6,6.5,6.8, , , ,4.5,6.75,7.25
3000051,7.8,5.75,7.4, , , ,5.5,6.75,9.25
3000052,8.2,8.25,3.4, , , ,5,6.75,9
3000053,7.6,7,8.2, , , ,8,7.75,9
3000054,8.2,7.25,8.8,8.5,5.25,4.5, , , 
3000055,7.6,6.75,8.6, , , ,4.5,7.25,9.5
3000056,7.4,7.25,7.6,7.5,6.25,3.5, , , 
3000057,6,5.75,5.4, , , ,5.5,6.5,9.75
3000058,3.4,4.5,2.4, , , ,3.5,4.75,8.5
3000059,6.8,7,6, , , ,7,8.25,9.5
3000060,7.2,7.5,7.2, , , ,6,7.5,9.25
3000061,4.8,5.75,3, , , ,7,6.5,9.25
3000062,7.8,5.75,5.6, , , ,3,6.25,9.5
3000063,8.8,5.5,9.4,8.25,6.75,5, , , 
3000064,9,4.75,9.6,7.75,1,4.25, , , 
3000065,8.8,6.5,8.8,7.25,5.75,4.25, , , 
3000066,7.8,6.5,5.6,5.5,4.5,4.75, , , 
3000067,9.2,5.25,4,7,7.75,3.75, , , 
3000068,7.8,5.5,9.4,7.25,5.75,5.75, , , 
3000069,3.2,3.5,1.8, , , ,3.25,5,8.75
3000070,7.4,7.25,5.6, , , ,8,7.75,9.75
3000071,5,5.5,3, , , ,3.5,7.25,7
